sno,indicator,gender,input,input_value,output,-3sd,-2sd,-1sd,median,1sd,2sd,3sd
1,weight for age,female,age,0,weight,2,2.4,2.8,3.2,3.7,4.2,4.8
2,weight for age,female,age,1,weight,2.7,3.2,3.6,4.2,4.8,5.5,6.2
3,weight for age,female,age,2,weight,3.4,3.9,4.5,5.1,5.8,6.6,7.5
4,weight for age,female,age,3,weight,4,4.5,5.2,5.8,6.6,7.5,8.5
5,weight for age,female,age,4,weight,4.4,5,5.7,6.4,7.3,8.2,9.3
6,weight for age,female,age,5,weight,4.8,5.4,6.1,6.9,7.8,8.8,10
7,weight for age,female,age,6,weight,5.1,5.7,6.5,7.3,8.2,9.3,10.6
8,weight for age,female,age,7,weight,5.3,6,6.8,7.6,8.6,9.8,11.1
9,weight for age,female,age,8,weight,5.6,6.3,7,7.9,9,10.2,11.6
10,weight for age,female,age,9,weight,5.8,6.5,7.3,8.2,9.3,10.5,12
11,weight for age,female,age,10,weight,5.9,6.7,7.5,8.5,9.6,10.9,12.4
12,weight for age,female,age,11,weight,6.1,6.9,7.7,8.7,9.9,11.2,12.8
13,weight for age,female,age,12,weight,6.3,7,7.9,8.9,10.1,11.5,13.1
14,weight for age,female,age,13,weight,6.4,7.2,8.1,9.2,10.4,11.8,13.5
15,weight for age,female,age,14,weight,6.6,7.4,8.3,9.4,10.6,12.1,13.8
16,weight for age,female,age,15,weight,6.7,7.6,8.5,9.6,10.9,12.4,14.1
17,weight for age,female,age,16,weight,6.9,7.7,8.7,9.8,11.1,12.6,14.5
18,weight for age,female,age,17,weight,7,7.9,8.9,10,11.4,12.9,14.8
19,weight for age,female,age,18,weight,7.2,8.1,9.1,10.2,11.6,13.2,15.1
20,weight for age,female,age,19,weight,7.3,8.2,9.2,10.4,11.8,13.5,15.4
21,weight for age,female,age,20,weight,7.5,8.4,9.4,10.6,12.1,13.7,15.7
22,weight for age,female,age,21,weight,7.6,8.6,9.6,10.9,12.3,14,16
23,weight for age,female,age,22,weight,7.8,8.7,9.8,11.1,12.5,14.3,16.4
24,weight for age,female,age,23,weight,7.9,8.9,10,11.3,12.8,14.6,16.7
25,weight for age,female,age,24,weight,8.1,9,10.2,11.5,13,14.8,17
26,weight for age,female,age,25,weight,8.2,9.2,10.3,11.7,13.3,15.1,17.3
27,weight for age,female,age,26,weight,8.4,9.4,10.5,11.9,13.5,15.4,17.7
28,weight for age,female,age,27,weight,8.5,9.5,10.7,12.1,13.7,15.7,18
29,weight for age,female,age,28,weight,8.6,9.7,10.9,12.3,14,16,18.3
30,weight for age,female,age,29,weight,8.8,9.8,11.1,12.5,14.2,16.2,18.7
31,weight for age,female,age,30,weight,8.9,10,11.2,12.7,14.4,16.5,19
32,weight for age,female,age,31,weight,9,10.1,11.4,12.9,14.7,16.8,19.3
33,weight for age,female,age,32,weight,9.1,10.3,11.6,13.1,14.9,17.1,19.6
34,weight for age,female,age,33,weight,9.3,10.4,11.7,13.3,15.1,17.3,20
35,weight for age,female,age,34,weight,9.4,10.5,11.9,13.5,15.4,17.6,20.3
36,weight for age,female,age,35,weight,9.5,10.7,12,13.7,15.6,17.9,20.6
37,weight for age,female,age,36,weight,9.6,10.8,12.2,13.9,15.8,18.1,20.9
38,weight for age,female,age,37,weight,9.7,10.9,12.4,14,16,18.4,21.3
39,weight for age,female,age,38,weight,9.8,11.1,12.5,14.2,16.3,18.7,21.6
40,weight for age,female,age,39,weight,9.9,11.2,12.7,14.4,16.5,19,22
41,weight for age,female,age,40,weight,10.1,11.3,12.8,14.6,16.7,19.2,22.3
42,weight for age,female,age,41,weight,10.2,11.5,13,14.8,16.9,19.5,22.7
43,weight for age,female,age,42,weight,10.3,11.6,13.1,15,17.2,19.8,23
44,weight for age,female,age,43,weight,10.4,11.7,13.3,15.2,17.4,20.1,23.4
45,weight for age,female,age,44,weight,10.5,11.8,13.4,15.3,17.6,20.4,23.7
46,weight for age,female,age,45,weight,10.6,12,13.6,15.5,17.8,20.7,24.1
47,weight for age,female,age,46,weight,10.7,12.1,13.7,15.7,18.1,20.9,24.5
48,weight for age,female,age,47,weight,10.8,12.2,13.9,15.9,18.3,21.2,24.8
49,weight for age,female,age,48,weight,10.9,12.3,14,16.1,18.5,21.5,25.2
50,weight for age,female,age,49,weight,11,12.4,14.2,16.3,18.8,21.8,25.5
51,weight for age,female,age,50,weight,11.1,12.6,14.3,16.4,19,22.1,25.9
52,weight for age,female,age,51,weight,11.2,12.7,14.5,16.6,19.2,22.4,26.3
53,weight for age,female,age,52,weight,11.3,12.8,14.6,16.8,19.4,22.6,26.6
54,weight for age,female,age,53,weight,11.4,12.9,14.8,17,19.7,22.9,27
55,weight for age,female,age,54,weight,11.5,13,14.9,17.2,19.9,23.2,27.4
56,weight for age,female,age,55,weight,11.6,13.2,15.1,17.3,20.1,23.5,27.7
57,weight for age,female,age,56,weight,11.7,13.3,15.2,17.5,20.3,23.8,28.1
58,weight for age,female,age,57,weight,11.8,13.4,15.3,17.7,20.6,24.1,28.5
59,weight for age,female,age,58,weight,11.9,13.5,15.5,17.9,20.8,24.4,28.8
60,weight for age,female,age,59,weight,12,13.6,15.6,18,21,24.6,29.2
61,weight for age,female,age,60,weight,12.1,13.7,15.8,18.2,21.2,24.9,29.5
62,weight for age,female,age,61,weight,12.4,14,15.9,18.3,21.2,24.8,29.5
63,weight for age,female,age,62,weight,12.5,14.1,16,18.4,21.4,25.1,29.8
64,weight for age,female,age,63,weight,12.6,14.2,16.2,18.6,21.6,25.4,30.2
65,weight for age,female,age,64,weight,12.7,14.3,16.3,18.8,21.8,25.6,30.5
66,weight for age,female,age,65,weight,12.8,14.4,16.5,19,22,25.9,30.9
67,weight for age,female,age,66,weight,12.9,14.6,16.6,19.1,22.2,26.2,31.3
68,weight for age,female,age,67,weight,13,14.7,16.8,19.3,22.5,26.5,31.6
69,weight for age,female,age,68,weight,13.1,14.8,16.9,19.5,22.7,26.7,32
70,weight for age,female,age,69,weight,13.2,14.9,17,19.6,22.9,27,32.3
71,weight for age,female,age,70,weight,13.3,15,17.2,19.8,23.1,27.3,32.7
72,weight for age,female,age,71,weight,13.4,15.2,17.3,20,23.3,27.6,33.1
73,weight for age,female,age,72,weight,13.5,15.3,17.5,20.2,23.5,27.8,33.4
74,weight for age,female,age,73,weight,13.6,15.4,17.6,20.3,23.8,28.1,33.8
75,weight for age,female,age,74,weight,13.7,15.5,17.8,20.5,24,28.4,34.2
76,weight for age,female,age,75,weight,13.8,15.6,17.9,20.7,24.2,28.7,34.6
77,weight for age,female,age,76,weight,13.9,15.8,18,20.9,24.4,29,35
78,weight for age,female,age,77,weight,14,15.9,18.2,21,24.6,29.3,35.4
79,weight for age,female,age,78,weight,14.1,16,18.3,21.2,24.9,29.6,35.8
80,weight for age,female,age,79,weight,14.2,16.1,18.5,21.4,25.1,29.9,36.2
81,weight for age,female,age,80,weight,14.3,16.3,18.6,21.6,25.3,30.2,36.6
82,weight for age,female,age,81,weight,14.4,16.4,18.8,21.8,25.6,30.5,37
83,weight for age,female,age,82,weight,14.5,16.5,18.9,22,25.8,30.8,37.4
84,weight for age,female,age,83,weight,14.6,16.6,19.1,22.2,26.1,31.1,37.8
85,weight for age,male,age,0,weight,2.1,2.5,2.9,3.3,3.9,4.4,5
86,weight for age,male,age,1,weight,2.9,3.4,3.9,4.5,5.1,5.8,6.6
87,weight for age,male,age,2,weight,3.8,4.3,4.9,5.6,6.3,7.1,8
88,weight for age,male,age,3,weight,4.4,5,5.7,6.4,7.2,8,9
89,weight for age,male,age,4,weight,4.9,5.6,6.2,7,7.8,8.7,9.7
90,weight for age,male,age,5,weight,5.3,6,6.7,7.5,8.4,9.3,10.4
91,weight for age,male,age,6,weight,5.7,6.4,7.1,7.9,8.8,9.8,10.9
92,weight for age,male,age,7,weight,5.9,6.7,7.4,8.3,9.2,10.3,11.4
93,weight for age,male,age,8,weight,6.2,6.9,7.7,8.6,9.6,10.7,11.9
94,weight for age,male,age,9,weight,6.4,7.1,8,8.9,9.9,11,12.3
95,weight for age,male,age,10,weight,6.6,7.4,8.2,9.2,10.2,11.4,12.7
96,weight for age,male,age,11,weight,6.8,7.6,8.4,9.4,10.5,11.7,13
97,weight for age,male,age,12,weight,6.9,7.7,8.6,9.6,10.8,12,13.3
98,weight for age,male,age,13,weight,7.1,7.9,8.8,9.9,11,12.3,13.7
99,weight for age,male,age,14,weight,7.2,8.1,9,10.1,11.3,12.6,14
100,weight for age,male,age,15,weight,7.4,8.3,9.2,10.3,11.5,12.8,14.3
101,weight for age,male,age,16,weight,7.5,8.4,9.4,10.5,11.7,13.1,14.6
102,weight for age,male,age,17,weight,7.7,8.6,9.6,10.7,12,13.4,14.9
103,weight for age,male,age,18,weight,7.8,8.8,9.8,10.9,12.2,13.7,15.3
104,weight for age,male,age,19,weight,8,8.9,10,11.1,12.5,13.9,15.6
105,weight for age,male,age,20,weight,8.1,9.1,10.1,11.3,12.7,14.2,15.9
106,weight for age,male,age,21,weight,8.2,9.2,10.3,11.5,12.9,14.5,16.2
107,weight for age,male,age,22,weight,8.4,9.4,10.5,11.8,13.2,14.7,16.5
108,weight for age,male,age,23,weight,8.5,9.5,10.7,12,13.4,15,16.8
109,weight for age,male,age,24,weight,8.6,9.7,10.8,12.2,13.6,15.3,17.1
110,weight for age,male,age,25,weight,8.8,9.8,11,12.4,13.9,15.5,17.5
111,weight for age,male,age,26,weight,8.9,10,11.2,12.5,14.1,15.8,17.8
112,weight for age,male,age,27,weight,9,10.1,11.3,12.7,14.3,16.1,18.1
113,weight for age,male,age,28,weight,9.1,10.2,11.5,12.9,14.5,16.3,18.4
114,weight for age,male,age,29,weight,9.2,10.4,11.7,13.1,14.8,16.6,18.7
115,weight for age,male,age,30,weight,9.4,10.5,11.8,13.3,15,16.9,19
116,weight for age,male,age,31,weight,9.5,10.7,12,13.5,15.2,17.1,19.3
117,weight for age,male,age,32,weight,9.6,10.8,12.1,13.7,15.4,17.4,19.6
118,weight for age,male,age,33,weight,9.7,10.9,12.3,13.8,15.6,17.6,19.9
119,weight for age,male,age,34,weight,9.8,11,12.4,14,15.8,17.8,20.2
120,weight for age,male,age,35,weight,9.9,11.2,12.6,14.2,16,18.1,20.4
121,weight for age,male,age,36,weight,10,11.3,12.7,14.3,16.2,18.3,20.7
122,weight for age,male,age,37,weight,10.1,11.4,12.9,14.5,16.4,18.6,21
123,weight for age,male,age,38,weight,10.2,11.5,13,14.7,16.6,18.8,21.3
124,weight for age,male,age,39,weight,10.3,11.6,13.1,14.8,16.8,19,21.6
125,weight for age,male,age,40,weight,10.4,11.8,13.3,15,17,19.3,21.9
126,weight for age,male,age,41,weight,10.5,11.9,13.4,15.2,17.2,19.5,22.1
127,weight for age,male,age,42,weight,10.6,12,13.6,15.3,17.4,19.7,22.4
128,weight for age,male,age,43,weight,10.7,12.1,13.7,15.5,17.6,20,22.7
129,weight for age,male,age,44,weight,10.8,12.2,13.8,15.7,17.8,20.2,23
130,weight for age,male,age,45,weight,10.9,12.4,14,15.8,18,20.5,23.3
131,weight for age,male,age,46,weight,11,12.5,14.1,16,18.2,20.7,23.6
132,weight for age,male,age,47,weight,11.1,12.6,14.3,16.2,18.4,20.9,23.9
133,weight for age,male,age,48,weight,11.2,12.7,14.4,16.3,18.6,21.2,24.2
134,weight for age,male,age,49,weight,11.3,12.8,14.5,16.5,18.8,21.4,24.5
135,weight for age,male,age,50,weight,11.4,12.9,14.7,16.7,19,21.7,24.8
136,weight for age,male,age,51,weight,11.5,13.1,14.8,16.8,19.2,21.9,25.1
137,weight for age,male,age,52,weight,11.6,13.2,15,17,19.4,22.2,25.4
138,weight for age,male,age,53,weight,11.7,13.3,15.1,17.2,19.6,22.4,25.7
139,weight for age,male,age,54,weight,11.8,13.4,15.2,17.3,19.8,22.7,26
140,weight for age,male,age,55,weight,11.9,13.5,15.4,17.5,20,22.9,26.3
141,weight for age,male,age,56,weight,12,13.6,15.5,17.7,20.2,23.2,26.6
142,weight for age,male,age,57,weight,12.1,13.7,15.6,17.8,20.4,23.4,26.9
143,weight for age,male,age,58,weight,12.2,13.8,15.8,18,20.6,23.7,27.2
144,weight for age,male,age,59,weight,12.3,14,15.9,18.2,20.8,23.9,27.6
145,weight for age,male,age,60,weight,12.4,14.1,16,18.3,21,24.2,27.9
146,weight for age,male,age,61,weight,12.7,14.4,16.3,18.5,21.1,24.2,27.8
147,weight for age,male,age,62,weight,12.8,14.5,16.4,18.7,21.3,24.4,28.1
148,weight for age,male,age,63,weight,13,14.6,16.6,18.9,21.5,24.7,28.4
149,weight for age,male,age,64,weight,13.1,14.8,16.7,19,21.7,24.9,28.8
150,weight for age,male,age,65,weight,13.2,14.9,16.9,19.2,22,25.2,29.1
151,weight for age,male,age,66,weight,13.3,15,17,19.4,22.2,25.5,29.4
152,weight for age,male,age,67,weight,13.4,15.2,17.2,19.6,22.4,25.7,29.8
153,weight for age,male,age,68,weight,13.6,15.3,17.4,19.8,22.6,26,30.1
154,weight for age,male,age,69,weight,13.7,15.4,17.5,19.9,22.8,26.3,30.4
155,weight for age,male,age,70,weight,13.8,15.6,17.7,20.1,23.1,26.6,30.8
156,weight for age,male,age,71,weight,13.9,15.7,17.8,20.3,23.3,26.8,31.2
157,weight for age,male,age,72,weight,14.1,15.9,18,20.5,23.5,27.1,31.5
158,weight for age,male,age,73,weight,14.2,16,18.2,20.7,23.7,27.4,31.9
159,weight for age,male,age,74,weight,14.3,16.2,18.3,20.9,24,27.7,32.2
160,weight for age,male,age,75,weight,14.5,16.3,18.5,21.1,24.2,28,32.6
161,weight for age,male,age,76,weight,14.6,16.5,18.7,21.3,24.4,28.3,33
162,weight for age,male,age,77,weight,14.7,16.6,18.8,21.5,24.7,28.6,33.3
163,weight for age,male,age,78,weight,14.9,16.8,19,21.7,24.9,28.9,33.7
164,weight for age,male,age,79,weight,15,16.9,19.2,21.9,25.2,29.2,34.1
165,weight for age,male,age,80,weight,15.1,17.1,19.3,22.1,25.4,29.5,34.5
166,weight for age,male,age,81,weight,15.3,17.2,19.5,22.3,25.6,29.8,34.9
167,weight for age,male,age,82,weight,15.4,17.4,19.7,22.5,25.9,30.1,35.3
168,weight for age,male,age,83,weight,15.5,17.5,19.9,22.7,26.1,30.4,35.7
169,weight for length,female,length,45,weight,1.9,2.1,2.3,2.5,2.7,2.9,3.1
170,weight for length,female,length,46,weight,2,2.2,2.4,2.6,2.8,3,3.2
171,weight for length,female,length,47,weight,2.2,2.4,2.6,2.8,3,3.2,3.4
172,weight for length,female,length,48,weight,2.3,2.5,2.75,3,3.25,3.5,3.75
173,weight for length,female,length,49,weight,2.4,2.6,2.9,3.2,3.5,3.8,4.1
174,weight for length,female,length,50,weight,2.6,2.8,3.1,3.4,3.7,4,4.3
175,weight for length,female,length,51,weight,2.8,3,3.3,3.6,3.9,4.2,4.5
176,weight for length,female,length,52,weight,2.9,3.2,3.5,3.8,4.1,4.4,4.7
177,weight for length,female,length,53,weight,3.1,3.4,3.7,4,4.3,4.6,4.9
178,weight for length,female,length,54,weight,3.3,3.6,3.95,4.3,4.65,5,5.35
179,weight for length,female,length,55,weight,3.5,3.8,4.15,4.5,4.85,5.2,5.55
180,weight for length,female,length,56,weight,3.7,4,4.4,4.8,5.2,5.6,6
181,weight for length,female,length,57,weight,3.9,4.3,4.7,5.1,5.5,5.9,6.3
182,weight for length,female,length,58,weight,4.1,4.5,4.95,5.4,5.85,6.3,6.75
183,weight for length,female,length,59,weight,4.3,4.7,5.15,5.6,6.05,6.5,6.95
184,weight for length,female,length,60,weight,4.5,4.9,5.4,5.9,6.4,6.9,7.4
185,weight for length,female,length,61,weight,4.7,5.1,5.6,6.1,6.6,7.1,7.6
186,weight for length,female,length,62,weight,4.9,5.3,5.85,6.4,6.95,7.5,8.05
187,weight for length,female,length,63,weight,5.1,5.5,6.05,6.6,7.15,7.7,8.25
188,weight for length,female,length,64,weight,5.3,5.7,6.3,6.9,7.5,8.1,8.7
189,weight for length,female,length,65,weight,5.5,5.9,6.5,7.1,7.7,8.3,8.9
190,weight for length,female,length,66,weight,5.6,6.1,6.7,7.3,7.9,8.5,9.1
191,weight for length,female,length,67,weight,5.8,6.3,6.9,7.5,8.1,8.7,9.3
192,weight for length,female,length,68,weight,6,6.5,7.1,7.7,8.3,8.9,9.5
193,weight for length,female,length,69,weight,6.1,6.7,7.35,8,8.65,9.3,9.95
194,weight for length,female,length,70,weight,6.3,6.9,7.55,8.2,8.85,9.5,10.15
195,weight for length,female,length,71,weight,6.5,7,7.7,8.4,9.1,9.8,10.5
196,weight for length,female,length,72,weight,6.6,7.2,7.9,8.6,9.3,10,10.7
197,weight for length,female,length,73,weight,6.8,7.4,8.1,8.8,9.5,10.2,10.9
198,weight for length,female,length,74,weight,6.9,7.5,8.25,9,9.75,10.5,11.25
199,weight for length,female,length,75,weight,7.1,7.7,8.4,9.1,9.8,10.5,11.2
200,weight for length,female,length,76,weight,7.2,7.8,8.55,9.3,10.05,10.8,11.55
201,weight for length,female,length,77,weight,7.4,8,8.75,9.5,10.25,11,11.75
202,weight for length,female,length,78,weight,7.5,8.2,8.95,9.7,10.45,11.2,11.95
203,weight for length,female,length,79,weight,7.7,8.3,9.1,9.9,10.7,11.5,12.3
204,weight for length,female,length,80,weight,7.8,8.5,9.3,10.1,10.9,11.7,12.5
205,weight for length,female,length,81,weight,8,8.7,9.5,10.3,11.1,11.9,12.7
206,weight for length,female,length,82,weight,8.1,8.8,9.65,10.5,11.35,12.2,13.05
